attr,dtype,otype
Sense,custom,constr
DStart,dbl,constr
FarkasDual,dbl,constr
Pi,dbl,constr
RHS,dbl,constr
SARHSLow,dbl,constr
SARHSUp,dbl,constr
ScenNRHS,dbl,constr
Slack,dbl,constr
CBasis,int,constr
IISConstr,int,constr
Lazy,int,constr
CTag,str,constr
ConstrName,str,constr
BoundSVio,dbl,model
BoundSVioSum,dbl,model
BoundVio,dbl,model
BoundVioSum,dbl,model
ComplVio,dbl,model
ComplVioSum,dbl,model
ConstrResidual,dbl,model
ConstrResidualSum,dbl,model
ConstrSResidual,dbl,model
ConstrSResidualSum,dbl,model
ConstrSVio,dbl,model
ConstrSVioSum,dbl,model
ConstrVio,dbl,model
ConstrVioSum,dbl,model
DNumNZs,dbl,model
DualResidual,dbl,model
DualResidualSum,dbl,model
DualSResidual,dbl,model
DualSResidualSum,dbl,model
DualSVio,dbl,model
DualSVioSum,dbl,model
DualVio,dbl,model
DualVioSum,dbl,model
FarkasProof,dbl,model
IntVio,dbl,model
IntVioSum,dbl,model
IterCount,dbl,model
Kappa,dbl,model
KappaExact,dbl,model
MIPGap,dbl,model
MaxBound,dbl,model
MaxCoeff,dbl,model
MaxObjCoeff,dbl,model
MaxQCCoeff,dbl,model
MaxQCLCoeff,dbl,model
MaxQCRHS,dbl,model
MaxQObjCoeff,dbl,model
MaxRHS,dbl,model
MinBound,dbl,model
MinCoeff,dbl,model
MinObjCoeff,dbl,model
MinQCCoeff,dbl,model
MinQCLCoeff,dbl,model
MinQCRHS,dbl,model
MinQObjCoeff,dbl,model
MinRHS,dbl,model
NodeCount,dbl,model
ObjBound,dbl,model
ObjBoundC,dbl,model
ObjCon,dbl,model
ObjNAbsTol,dbl,model
ObjNCon,dbl,model
ObjNRelTol,dbl,model
ObjNVal,dbl,model
ObjNWeight,dbl,model
ObjVal,dbl,model
PoolObjBound,dbl,model
PoolObjVal,dbl,model
Runtime,dbl,model
ScenNObjBound,dbl,model
ScenNObjVal,dbl,model
ScenNX,dbl,var
BarIterCount,int,model
BoundSVioIndex,int,model
BoundVioIndex,int,model
ComplVioIndex,int,model
ConstrResidualIndex,int,model
ConstrSResidualIndex,int,model
ConstrSVioIndex,int,model
ConstrVioIndex,int,model
DualResidualIndex,int,model
DualSResidualIndex,int,model
DualSVioIndex,int,model
DualVioIndex,int,model
Fingerprint,int,model
IISMinimal,int,model
IntVioIndex,int,model
IsMIP,int,model
IsMultiObj,int,model
IsQCP,int,model
IsQP,int,model
LicenseExpiration,int,model
ModelSense,custom,model
NumBinVars,int,model
NumConstrs,int,model
NumGenConstrs,int,model
NumIntVars,int,model
NumNZs,int,model
NumObj,int,model
NumPWLObjVars,int,model
NumQCNZs,int,model
NumQConstrs,int,model
NumQNZs,int,model
NumSOS,int,model
NumScenarios,int,model
NumStart,int,model
NumVars,int,model
ObjNPriority,int,model
SolCount,int,model
Status,custom,model
TuneResultCount,int,model
ModelName,str,model
ObjNName,str,model
ScenNName,str,model
QCSense,chr,qconstr
QCPi,dbl,qconstr
QCRHS,dbl,qconstr
QCSlack,dbl,qconstr
IISQConstr,int,qconstr
QCName,str,qconstr
QCTag,str,qconstr
IISSOS,int,sos
VType,custom,var
BarX,dbl,var
LB,dbl,var
Obj,dbl,var
ObjN,dbl,var
PStart,dbl,var
RC,dbl,var
SALBLow,dbl,var
SALBUp,dbl,var
SAObjLow,dbl,var
SAObjUp,dbl,var
SAUBLow,dbl,var
SAUBUp,dbl,var
ScenNLB,dbl,var
ScenNObj,dbl,var
ScenNUB,dbl,var
Start,dbl,var
UB,dbl,var
UnbdRay,dbl,var
VarHintVal,dbl,var
X,dbl,var
Xn,dbl,var
BranchPriority,int,var
IISLB,int,var
IISUB,int,var
PWLObjCvx,int,var
Partition,int,var
VBasis,int,var
VarHintPri,int,var
VTag,str,var
VarName,str,var
ConcurrentWinMethod,int,model
IISConstrForce,int,constr
IISLBForce,int,var
IISQConstrForce,int,qconstr
IISSOSForce,int,sos
IISUBForce,int,var
MaxVio,dbl,model
OpenNodeCount,dbl,model
PoolIgnore,int,var
Work,dbl,model
FuncPieceError,dbl,gconstr
FuncPieceLength,dbl,gconstr
FuncPieceRatio,dbl,gconstr
FuncPieces,int,gconstr
FuncNonlinear,int,gconstr
GenConstrType,custom,gconstr
GenConstrName,str,gconstr
IISGenConstr,int,gconstr
IISGenConstrForce,int,gconstr
